id,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AFG,#N/A,#N/A,0.14,4.26,24,32.48,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALB,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.16,4,0.27,0.0057,1.29,2.3,2.85,3.86,12.86,5.4,3.55,3.27,2.2,4.06
ATA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
DZA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.003,#N/A,#N/A,0.003,#N/A,#N/A,#N/A,#N/A,#N/A,0.29,0.27,9.51,0.15,0.07,7.77,22,0.72,1.03,1.17772,10.90102,182.8567
ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AND,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.002,#N/A,0.12,0.05,0.22,0.03,0.64,0.03,0.03,#N/A,0.11,0.06,0.06,0.02,0.09,0.27,#N/A,#N/A,0.11,0.11,0.15,0.2,0.26,0.21319,0.07692,0.3423
AGO,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,#N/A,#N/A,8.9,64.36,536,38.01,15.9,173.72,20.74,#N/A,#N/A,#N/A,8.96,#N/A,55.77,#N/A,92.3,#N/A,#N/A,#N/A
ATG,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.48,10,#N/A,#N/A,#N/A,#N/A,#N/A,73,115,6,126,1,26,24,767,21,62,25,#N/A,18.6,1600,14.1,2.3,1.04,177,#N/A
AZE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.1,#N/A,#N/A,0.13,0.1,0.12
ARG,44.69,26.88,19.41,73.59,141.78,160.06,360.12,612.71,1098.64,462.3,1009.48,1275.68,1210.05,2041.96,2236.41,3416.08,2451.25,5192.57,1766.9,1660.78,2351.36,2286.86,1638.28,1992.71,3114.77,5502.57,6502.12,7533.09,12112.27,12643.26,237.9,4162.49,10461.92
AUS,7.16,0.54,5.75,8.8,13.1,12.8,21.58,10.69,20.88,48.7,125.79,139.92,233.26,79.6,632,348.04,1.76,81.94,103.16,70.72,1437.87,1151.25,105.87,288.16,202.01,87.51,251.57,626.46,930.43,287.5,1876.21,1840.15,1587
AUT,0.03,1.66,#N/A,#N/A,4.25,5.39,7.95,27.38,14.47,20.95,41.21,84.43,75.74,83.9,52.68,55.26,72.79,86.9,99.14,63.38,20.38,108.27,36.9,58.31,75.52,244.85,61.76,78.07,78.38,53.21,241,139,64.64
BHS,9,398,24.17,1189.4,1679,6572.21,4168.38,8915.38,9353.29,5483,3924.73,3620,4850.87,605.58,491.54,392,115,2579.04,3343.05,1857,2759.51,1469,2477.27,4361.12,740.26,1001,1221.03,717.91,2460.96,1907.92,#N/A,176,236
BHR,#N/A,#N/A,#N/A,0.02,0.001,#N/A,#N/A,#N/A,#N/A,#N/A,0.08,0.01,0.04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.01,#N/A,0.002289,#N/A,#N/A,0.004,#N/A,#N/A,#N/A,#N/A,#N/A,0.2,#N/A
BGD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.45,2.54,7.04,0.22,0.05,#N/A,#N/A,#N/A,#N/A,#N/A,0.55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.004,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.94,#N/A,0.04,0.17,0.00295,#N/A,#N/A,0.0022,0.00032
BRB,#N/A,#N/A,#N/A,4,0.002,2.15,2.5,#N/A,3.18,26.59,3,7.26,1,20,246,247,37,88.05,35,132.76,81,83,#N/A,97,37,57,#N/A,251,46,15,63.67,#N/A,#N/A
BEL,1.47,14.24,5.22,24.75,101.18,61.92,115.88,269.71,403.55,89.65,538.34,756.39,1221.87,2891.95,479.42,576.18,838,3329,2088.31,1761.7,2813.99,2813.99,3589,644.86,3541,9258,3945.85,2473.25,3851.52,4604.96,6843.97,7999.21,19177.98
BMU,22,0.13,#N/A,0.04,0.96,0.46,3,0.51,26.73,4.71,8.96,3.78,6.59,7.63,58.36,40.19,24.66,4.52,4.33,8.08,11.57,667,4.9,0.7,#N/A,6,4.09,#N/A,#N/A,2.5,#N/A,#N/A,#N/A
BTN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BOL,400,#N/A,#N/A,1035.82,972.12,3261.56,6587.4,6787.8,9796.4,9800,12404.92,8420,10126.48,9055.3,10021,8496.64,11938,12325,11346,7712,5600,4610,5100,12900,8720,11460,14090,17830,28890,26892,3065.66,33966.65,36309.63
BIH,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.005,#N/A,164.39,#N/A,0.24,#N/A,#N/A,10,0.65,2.86,1,3.991,1.506,0.26,0.12953
BWA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.56,#N/A,#N/A,#N/A,0.19,#N/A,19.24,#N/A,0.41,3,0.98,0.7,1.7,#N/A,#N/A,#N/A,#N/A,#N/A,0.6,0.16,#N/A,#N/A,#N/A,0.0903,#N/A,0.11277
BVT,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
